User ID,Timestamp,Action,Product Category,Revenue
abe25903-30ab-4a26-a569-604f87656d15,28-12-2024 03:26,viewed_product,Clothing,0
6475c03d-4202-470f-8ded-6f710deaff7a,07-11-2024 13:35,purchased,Clothing,392.36
fcca2524-5817-44a1-8697-2a9a8ff04c76,04-12-2024 0:33,added_to_cart,Sports,0
714905a0-06a3-484f-a72b-bc0787975d83,12-01-2025 12:25,purchased,Books,330.52
7dc8ec16-b498-4f9c-b768-e4725b9e6b73,25-11-2024 16:44,added_to_cart,Books,
3169fef5-2444-4ee7-8bf5-37480ca426ef,28-10-2024 14:16,viewed_product,Beauty,0
50fd0263-85e3-41dc-b8bd-16c78565920d,18-10-2024 17:32,viewed_product,Home & Kitchen,0
3932c1d8-93ff-4c1a-a824-883ec8b7e525,12-01-2025 9:05,viewed_product,Home & Kitchen,0
0624d42b-80a2-4eab-a4b9-40c041bb038c,14-01-2025 09:17,purchased,Books,263.7
37ef1b21-9d8f-41ca-85d2-23e6da98397c,21-11-2024 04:28,purchased,Sports,144.89
4d18c8d0-238f-4926-b39e-f6e05e259280,11-11-2024 12:07,added_to_cart,Beauty,0
6714f9b2-7d02-42a9-ad2c-337f91266ef1,06-12-2024 8:17,viewed_product,Home & Kitchen,0
71a689a9-1bf0-4408-97f3-c30e3946c545,03-12-2024 6:50,viewed_product,Beauty,0
0eeac45e-90e3-49bf-ba46-9163471a5982,18-10-2024 11:27,viewed_product,Beauty,0
f2d3ebe8-4793-44a4-8b20-0eb3016b1e18,01-12-2024 9:29,viewed_product,Home & Kitchen,0
b6ab1ee8-1598-447c-a8ba-4a179f00eda2,14-01-2025 08:04,viewed_product,Electronics,0
2b5b6265-673e-4373-9c82-00222a218ace,24-11-2024 05:03,added_to_cart,Clothing,0
2082114e-3d24-462e-b3da-6b38383bf764,02-01-2025 1:19,added_to_cart,Beauty,0
7c04a5b4-90e1-417c-805f-de9f08fa08ab,02-12-2024 0:40,viewed_product,Home & Kitchen,0
19332c82-b9f1-4fd6-99eb-f9f1fd12c0ba,04-12-2024 6:34,added_to_cart,Sports,0
5102709f-fddf-48e3-8e88-0525f2e4e4e0,20-10-2024 21:01,added_to_cart,Sports,0
2e3b2d10-fe70-4ef4-8ebf-895aca9905f8,07-11-2024 1:58,added_to_cart,Beauty,0
950e1452-8998-4e53-9d52-d0caeb3c2014,23-10-2024 03:28,purchased,Beauty,234.14
3c1617f2-a41b-410f-9db1-3176e8a0b672,12-11-2024 23:49,purchased,Home & Kitchen,62.1
6d2a9bfb-fde1-4ced-8a6e-d257fa7efc65,21-11-2024 05:51,viewed_product,Sports,0
9e9924e5-1690-4018-af01-4afb42692fdb,08-12-2024 1:53,added_to_cart,Clothing,0
3d37ada8-5c5d-4cbe-b008-54485484816f,19-10-2024 11:07,viewed_product,Clothing,0
81e6d98e-0891-4e49-84a9-d1d11db1cba1,08-12-2024 23:09,viewed_product,Electronics,0
b47ba0ee-1f0d-450f-becb-b5c44432623e,22-12-2024 21:57,purchased,Electronics,255.05
b04b10d7-a7cd-4feb-a837-3c40ec88ffa2,17-12-2024 10:14,added_to_cart,Books,0
d5d53cac-1848-4c9e-8530-249130de1ad1,27-11-2024 20:37,purchased,Clothing,343.19
0dbc922c-f7ab-4e44-a3f6-82c76a9d0c6a,22-10-2024 22:35,purchased,Sports,452.01
6bfaaf99-4dee-4d11-86cc-b4210298447e,15-12-2024 15:49,viewed_product,Home & Kitchen,0
f1c51edf-8de7-448d-930e-e952fb38cb71,30-10-2024 17:15,purchased,Home & Kitchen,273.04
5b86cfec-d8f4-4c70-8254-1ead9823412a,18-10-2024 01:28,purchased,Books,346.69
b4a49b54-e02f-4b52-9df7-a67d13ceef84,04-11-2024 17:27,added_to_cart,Sports,0
59c8faba-e6f3-405e-855b-6df1d307b469,29-10-2024 09:35,added_to_cart,Beauty,0
ed1577ac-1401-4ec2-a9db-a2f1a5fa1539,19-10-2024 19:58,purchased,Clothing,216.33
25985138-daf0-45ed-883f-242354f2702c,13-11-2024 03:16,,Electronics,0
cc63fc64-9786-40b0-b393-6b49e269b5e7,11-11-2024 8:10,purchased,Books,444.64
75932b2a-ae24-41b4-b96d-b029da216cfb,05-11-2024 13:07,added_to_cart,Home & Kitchen,0
0fb2a168-e97b-4824-9cc9-935751eb127f,20-11-2024 20:06,purchased,Electronics,227.69
9acfb2a2-5811-425c-bed3-d280de86708d,07-12-2024 4:57,purchased,Books,456.29
4e77aaf6-2ba1-4da9-b50f-f36626e17534,11-11-2024 9:43,added_to_cart,Books,0
db47cf5c-57ea-4a62-87b7-34768800dbd5,06-01-2025 21:25,viewed_product,Clothing,0
a38fb09f-02c5-474c-bd36-57b23619f1d1,20-11-2024 14:48,added_to_cart,Home & Kitchen,0
e7ff607a-c032-4cbe-a5cc-20c170e16295,30-12-2024 06:48,viewed_product,Home & Kitchen,0
d732694e-6aa0-431f-9e08-8415843e9a0f,20-10-2024 04:19,viewed_product,Beauty,0
ca20e4b4-a9f3-49ba-9ae7-4a5333f77f7f,26-10-2024 16:26,added_to_cart,Home & Kitchen,0
0307f5c5-771a-46f8-a41a-e761a0125db7,12-12-2024 6:26,purchased,Electronics,349.26
09fbdd07-3893-45ce-a1d5-bf2b4a4b6158,20-10-2024 16:03,purchased,Home & Kitchen,111.33
ae68cf9d-84ee-402d-ba6a-b160bb81cbf1,16-12-2024 06:17,purchased,Home & Kitchen,173.09
5b409ee9-6143-437c-a953-52d14e160670,07-12-2024 17:17,viewed_product,Sports,0
73452915-375f-4a22-835a-6187aeba6096,12-01-2025 18:13,purchased,Clothing,485.89
0a3fe168-900a-4a61-9b5c-9348746f3771,24-10-2024 11:38,added_to_cart,Books,0
4acdb831-3024-4ba9-92fa-d53fb026290a,20-10-2024 12:53,purchased,Electronics,90.69
c28a02ae-b289-4a8f-a02b-de571c1d9b82,11-12-2024 10:21,viewed_product,Electronics,0
2b7ab88d-ada2-495b-b80c-fbe2985f54fa,22-10-2024 00:58,purchased,Clothing,429.51
a86b036a-fdca-40bd-acef-b9d4068378dc,20-10-2024 13:21,viewed_product,Electronics,0
8e51ee46-1987-49f2-8c60-e79dcde39f4b,01-01-2025 14:06,viewed_product,Home & Kitchen,0
a478f065-57e4-4eb9-98ac-5c2388f2c14e,25-11-2024 17:50,added_to_cart,Electronics,0
7c56aaf0-8d40-414d-8601-8daac799d6ff,24-12-2024 11:55,viewed_product,Clothing,0
a84075be-9796-4054-83b5-f0345af95dac,14-11-2024 21:53,viewed_product,Books,0
d9fbf76c-a207-45cf-8a23-f4e975c776ed,19-10-2024 22:29,viewed_product,Sports,0
bae9c0c4-1921-4614-a900-7be16c942256,13-11-2024 19:12,viewed_product,Electronics,0
77b01605-df15-441b-b7fc-612270557cc2,19-11-2024 13:25,viewed_product,Electronics,0
2edf845d-fc42-4a48-82c7-5463be5e66c9,25-12-2024 17:58,viewed_product,Sports,0
af89ec2c-a06f-4def-89d5-64d3b9dd597e,06-12-2024 23:21,viewed_product,Books,0
e2decc4b-15cb-49aa-8f52-e63980239422,18-10-2024 15:59,added_to_cart,Books,0
3a817340-6b7a-490b-9470-678fe5d80b10,23-12-2024 04:51,viewed_product,Beauty,0
